Index,Load (kN),Defor (mm)
604,21.74,0.5163
605,21.75,0.5175
606,21.75,0.5188
607,21.76,0.5188
608,21.77,0.52
609,21.77,0.5213
610,21.78,0.5225
611,21.78,0.5225
612,21.79,0.5238
613,21.8,0.5238
614,21.81,0.525
615,21.81,0.5263
616,21.82,0.5263
617,21.82,0.5275
618,21.83,0.5288
619,21.84,0.5288
620,21.84,0.53
621,21.85,0.5312
622,21.86,0.5325
623,21.86,0.5325
624,21.87,0.5337
625,21.88,0.5337
626,21.88,0.535
627,21.89,0.5362
628,21.89,0.5362
629,21.9,0.5375
630,21.91,0.5387
631,21.91,0.5387
632,21.92,0.54
633,21.92,0.5412
634,21.93,0.5425
635,21.94,0.5425
636,21.94,0.5437
637,21.95,0.545
638,21.96,0.545
639,21.96,0.5462
640,21.97,0.5462
641,21.97,0.5475
642,21.98,0.5487
643,21.99,0.5487
644,21.99,0.55
645,22.0,0.5512
646,22.0,0.5525
647,22.01,0.5525
648,22.01,0.5537
649,22.02,0.5537
650,22.03,0.555
651,22.03,0.5562
652,22.04,0.5562
653,22.04,0.5575
654,22.05,0.5587
655,22.05,0.56
656,22.06,0.56
657,22.06,0.5612
658,22.07,0.5625
659,22.07,0.5625
660,22.08,0.5637
661,22.09,0.565
662,22.1,0.565
663,22.1,0.5662
664,22.11,0.5675
665,22.11,0.5675
666,22.12,0.5687
667,22.12,0.57
668,22.13,0.57
669,22.13,0.5712
670,22.14,0.5725
671,22.15,0.5725
672,22.15,0.5737
673,22.16,0.575
674,22.17,0.575
675,22.17,0.5763
676,22.18,0.5775
677,22.18,0.5775
678,22.19,0.5788
679,22.19,0.58
680,22.19,0.58
681,22.2,0.5813
682,22.21,0.5825
683,22.22,0.5825
684,22.22,0.5838
685,22.22,0.585
686,22.23,0.585
687,22.24,0.5863
688,22.24,0.5863
689,22.25,0.5875
690,22.25,0.5888
691,22.26,0.5888
692,22.26,0.59
693,22.27,0.5913
694,22.28,0.5925
695,22.28,0.5925
696,22.29,0.5938
697,22.29,0.5938
698,22.3,0.595
699,22.3,0.5962
700,22.31,0.5962
701,22.31,0.5975
702,22.32,0.5987
703,22.32,0.5987
704,22.33,0.6
705,22.34,0.6012
706,22.34,0.6025
707,22.35,0.6025
708,22.35,0.6037
709,22.36,0.605
710,22.36,0.605
711,22.37,0.6062
712,22.37,0.6062
713,22.38,0.6075
714,22.38,0.6087
715,22.39,0.61
716,22.39,0.61
717,22.4,0.6112
718,22.4,0.6125
719,22.41,0.6125
720,22.42,0.6137
721,22.42,0.615
722,22.42,0.615
723,22.43,0.6162
724,22.44,0.6175
725,22.44,0.6175
726,22.45,0.6187
727,22.45,0.62
728,22.46,0.62
729,22.47,0.6212
730,22.47,0.6225
731,22.47,0.6225
732,22.48,0.6237
733,22.48,0.625
734,22.49,0.625
735,22.49,0.6262
736,22.5,0.6275
737,22.5,0.6275
738,22.51,0.6287
739,22.51,0.63
740,22.52,0.63
741,22.52,0.6312
742,22.53,0.6325
743,22.53,0.6325
744,22.54,0.6337
745,22.54,0.635
746,22.55,0.635
747,22.56,0.6362
748,22.56,0.6375
749,22.56,0.6375
750,22.57,0.6387
751,22.58,0.64
752,22.58,0.64
753,22.58,0.6413
754,22.59,0.6425
755,22.6,0.6425
756,22.6,0.6438
757,22.61,0.645
758,22.61,0.645
759,22.62,0.6463
760,22.62,0.6475
761,22.63,0.6475
762,22.63,0.6488
763,22.64,0.65
764,22.64,0.65
765,22.64,0.6513
766,22.65,0.6525
767,22.65,0.6525
768,22.66,0.6538
769,22.67,0.655
770,22.67,0.655
771,22.67,0.6562
772,22.68,0.6575
773,22.68,0.6575
774,22.69,0.6587
775,22.69,0.66
776,22.7,0.66
777,22.71,0.6612
778,22.71,0.6625
779,22.71,0.6625
780,22.72,0.6637
781,22.72,0.665
782,22.73,0.665
783,22.73,0.6662
784,22.74,0.6662
785,22.74,0.6675
786,22.75,0.6687
787,22.75,0.67
788,22.76,0.67
789,22.76,0.6712
790,22.77,0.6725
791,22.77,0.6725
792,22.78,0.6737
793,22.78,0.675
794,22.79,0.675
795,22.79,0.6762
796,22.8,0.6762
797,22.8,0.6775
798,22.81,0.6787
799,22.81,0.68
800,22.82,0.68
801,22.82,0.6812
802,22.83,0.6825
803,22.83,0.6825
804,22.83,0.6837
805,22.84,0.6837
806,22.84,0.685
807,22.85,0.6862
808,22.85,0.6862
809,22.86,0.6875
810,22.86,0.6887
811,22.87,0.6887
812,22.87,0.69
813,22.88,0.6912
814,22.88,0.6925
815,22.88,0.6925
816,22.89,0.6937
817,22.89,0.6937
818,22.9,0.695
819,22.91,0.6962
820,22.91,0.6962
821,22.92,0.6975
822,22.92,0.6987
823,22.93,0.6987
824,22.93,0.7
825,22.93,0.7012
826,22.94,0.7025
827,22.94,0.7025
828,22.95,0.7037
829,22.96,0.7037
830,22.96,0.705
831,22.96,0.7063
832,22.97,0.7063
833,22.97,0.7075
834,22.98,0.7088
835,22.98,0.7088
836,22.99,0.71
837,22.99,0.7113
838,22.99,0.7125
839,23.0,0.7125
840,23.0,0.7138
841,23.01,0.715
842,23.01,0.715
843,23.02,0.7163
844,23.03,0.7175
845,23.03,0.7175
846,23.03,0.7188
847,23.04,0.72
848,23.04,0.72
849,23.05,0.7212
850,23.05,0.7225
851,23.06,0.7225
852,23.06,0.7237
853,23.07,0.725
854,23.07,0.725
855,23.08,0.7262
856,23.08,0.7275
857,23.09,0.7275
858,23.09,0.7287
859,23.09,0.73
860,23.1,0.73
861,23.1,0.7312
862,23.11,0.7325
863,23.11,0.7325
864,23.12,0.7337
865,23.12,0.735
866,23.13,0.735
867,23.13,0.7362
868,23.14,0.7375
869,23.14,0.7375
870,23.15,0.7387
871,23.15,0.74
872,23.15,0.74
873,23.16,0.7412
874,23.17,0.7425
875,23.17,0.7425
876,23.17,0.7437
877,23.18,0.745
878,23.18,0.745
879,23.18,0.7462
880,23.19,0.7475
881,23.19,0.7475
882,23.2,0.7487
883,23.2,0.75
884,23.21,0.75
885,23.21,0.7512
886,23.22,0.7525
887,23.22,0.7525
888,23.22,0.7537
889,23.23,0.755
890,23.23,0.755
891,23.24,0.7562
892,23.24,0.7575
893,23.25,0.7575
894,23.25,0.7587
895,23.25,0.76
896,23.26,0.76
897,23.27,0.7612
898,23.27,0.7625
899,23.27,0.7625
900,23.28,0.7637
901,23.28,0.765
902,23.29,0.765
903,23.29,0.7662
904,23.3,0.7675
905,23.3,0.7675
906,23.31,0.7688
907,23.31,0.77
908,23.31,0.77
909,23.32,0.7713
910,23.32,0.7725
911,23.33,0.7725
912,23.33,0.7738
913,23.34,0.775
914,23.34,0.775
915,23.35,0.7763
916,23.35,0.7775
917,23.35,0.7775
918,23.36,0.7788
919,23.36,0.78
920,23.37,0.78
921,23.37,0.7812
922,23.38,0.7825
923,23.38,0.7825
924,23.38,0.7837
925,23.39,0.785
926,23.4,0.785
927,23.4,0.7862
928,23.4,0.7875
929,23.4,0.7875
930,23.41,0.7887
931,23.41,0.79
932,23.42,0.79
933,23.42,0.7912
934,23.43,0.7925
935,23.43,0.7925
936,23.44,0.7937
937,23.44,0.795
938,23.44,0.795
939,23.45,0.7962
940,23.45,0.7975
941,23.46,0.7975
942,23.46,0.7987
943,23.47,0.8
944,23.47,0.8
945,23.48,0.8012
946,23.48,0.8025
947,23.48,0.8025
948,23.49,0.8037
949,23.49,0.805
950,23.5,0.805
951,23.5,0.8062
952,23.5,0.8075
953,23.51,0.8075
954,23.52,0.8087
955,23.52,0.81
956,23.53,0.8112
957,23.53,0.8112
958,23.53,0.8125
959,23.54,0.8125
960,23.54,0.8137
961,23.54,0.815
962,23.55,0.8162
963,23.55,0.8162
964,23.56,0.8175
965,23.56,0.8187
966,23.57,0.8187
967,23.57,0.82
968,23.58,0.8212
969,23.58,0.8212
970,23.58,0.8225
971,23.59,0.8237
972,23.59,0.8237
973,23.59,0.825
974,23.6,0.8262
975,23.6,0.8262
976,23.61,0.8275
977,23.61,0.8287
978,23.62,0.8287
979,23.62,0.83
980,23.62,0.8312
981,23.63,0.8312
982,23.63,0.8325
983,23.64,0.8338
984,23.64,0.8338
985,23.65,0.835
986,23.65,0.8363
987,23.65,0.8363
988,23.66,0.8375
989,23.66,0.8388
990,23.67,0.8388
991,23.67,0.84
992,23.67,0.8413
993,23.68,0.8413
994,23.68,0.8425
995,23.69,0.8438
996,23.69,0.8438
997,23.7,0.845
998,23.7,0.8462
999,23.7,0.8462
1000,23.71,0.8475
1001,23.71,0.8487
1002,23.71,0.8487
1003,23.72,0.85
1004,23.72,0.8512
1005,23.73,0.8512
1006,23.73,0.8525
1007,23.74,0.8537
1008,23.74,0.8537
1009,23.75,0.855
1010,23.75,0.8562
1011,23.75,0.8562
1012,23.76,0.8575
1013,23.76,0.8587
1014,23.77,0.8587
1015,23.77,0.86
1016,23.77,0.8612
1017,23.78,0.8612
1018,23.78,0.8625
1019,23.79,0.8637
1020,23.79,0.8637
1021,23.8,0.865
1022,23.8,0.8662
1023,23.8,0.8662
1024,23.8,0.8675
1025,23.81,0.8687
1026,23.81,0.8687
1027,23.82,0.87
1028,23.82,0.8712
1029,23.83,0.8712
1030,23.83,0.8725
1031,23.83,0.8737
1032,23.84,0.8737
1033,23.84,0.875
1034,23.84,0.8762
1035,23.85,0.8762
1036,23.86,0.8775
1037,23.86,0.8787
1038,23.86,0.8787
1039,23.87,0.88
1040,23.87,0.8812
1041,23.88,0.8812
1042,23.88,0.8825
1043,23.88,0.8837
1044,23.89,0.8837
1045,23.89,0.885
1046,23.9,0.8862
1047,23.9,0.8862
1048,23.9,0.8875
1049,23.91,0.8887
1050,23.91,0.8887
1051,23.91,0.89
1052,23.92,0.8912
1053,23.92,0.8912
1054,23.92,0.8925
1055,23.93,0.8937
1056,23.93,0.8937
1057,23.94,0.895
1058,23.94,0.8963
1059,23.95,0.8963
1060,23.95,0.8975
1061,23.95,0.8988
1062,23.96,0.8988
1063,23.96,0.9
1064,23.96,0.9013
1065,23.97,0.9025
1066,23.97,0.9025
1067,23.98,0.9038
1068,23.98,0.9038
1069,23.98,0.905
1070,23.99,0.9062
1071,23.99,0.9062
1072,24.0,0.9075
1073,24.0,0.9087
1074,24.0,0.9087
1075,24.01,0.91
1076,24.01,0.9112
1077,24.02,0.9125
1078,24.02,0.9125
1079,24.03,0.9137
1080,24.03,0.9137
1081,24.03,0.915
1082,24.04,0.9162
1083,24.04,0.9162
1084,24.04,0.9175
1085,24.05,0.9187
1086,24.05,0.9187
1087,24.05,0.92
1088,24.05,0.9212
1089,24.05,0.9225
1090,24.06,0.9225
1091,24.07,0.9237
1092,24.07,0.925
1093,24.07,0.925
1094,24.08,0.9262
1095,24.08,0.9275
1096,24.09,0.9275
1097,24.09,0.9287
1098,24.1,0.93
1099,24.1,0.93
1100,24.1,0.9312
1101,24.11,0.9325
1102,24.11,0.9325
1103,24.12,0.9337
1104,24.12,0.935
1105,24.12,0.935
1106,24.13,0.9362
1107,24.13,0.9362
1108,24.14,0.9375
1109,24.14,0.9387
1110,24.14,0.94
1111,24.15,0.94
1112,24.15,0.9412
1113,24.15,0.9425
1114,24.16,0.9425
1115,24.16,0.9437
1116,24.17,0.945
1117,24.17,0.945
1118,24.17,0.9462
1119,24.18,0.9462
