Index,Load (kN),Defor (mm)
577,3.236,0.0412
578,3.239,0.0412
579,3.241,0.0412
580,3.244,0.0412
581,3.246,0.0416
582,3.249,0.0416
583,3.252,0.0416
584,3.255,0.0416
585,3.258,0.0416
586,3.26,0.0416
587,3.263,0.0416
588,3.266,0.0416
589,3.268,0.0416
590,3.27,0.0416
591,3.273,0.0416
592,3.276,0.0416
593,3.279,0.042
594,3.281,0.042
595,3.284,0.042
596,3.286,0.042
597,3.289,0.042
598,3.291,0.042
599,3.294,0.042
600,3.297,0.042
601,3.299,0.042
602,3.301,0.042
603,3.304,0.0424
604,3.306,0.042
605,3.309,0.042
606,3.31,0.042
607,3.313,0.0424
608,3.316,0.0424
609,3.319,0.0424
610,3.322,0.0424
611,3.324,0.0424
612,3.327,0.0424
613,3.329,0.0424
614,3.332,0.0424
615,3.334,0.0424
616,3.337,0.0424
617,3.34,0.0424
618,3.342,0.0424
619,3.345,0.0428
620,3.347,0.0428
621,3.35,0.0428
622,3.352,0.0428
623,3.355,0.0428
624,3.357,0.0428
625,3.36,0.0428
626,3.362,0.0428
627,3.365,0.0432
628,3.367,0.0432
629,3.37,0.0432
630,3.374,0.0432
631,3.375,0.0432
632,3.378,0.0432
633,3.381,0.0432
634,3.382,0.0432
635,3.386,0.0432
636,3.388,0.0432
637,3.391,0.0432
638,3.393,0.0432
639,3.396,0.0432
640,3.398,0.0432
641,3.4,0.0436
642,3.403,0.0436
643,3.405,0.0436
644,3.408,0.0436
645,3.41,0.0436
646,3.413,0.0436
647,3.416,0.0436
648,3.418,0.044
649,3.42,0.0436
650,3.422,0.0436
651,3.425,0.044
652,3.427,0.0436
653,3.43,0.0436
654,3.432,0.044
655,3.435,0.044
656,3.438,0.044
657,3.44,0.044
658,3.443,0.044
659,3.445,0.044
660,3.447,0.044
661,3.449,0.0444
662,3.452,0.044
663,3.454,0.044
664,3.456,0.044
665,3.459,0.0444
666,3.462,0.044
667,3.465,0.0444
668,3.467,0.0444
669,3.469,0.0444
670,3.471,0.0444
671,3.473,0.0448
672,3.476,0.0444
673,3.479,0.0444
674,3.481,0.0444
675,3.483,0.0444
676,3.486,0.0444
677,3.489,0.0448
678,3.491,0.0448
679,3.493,0.0448
680,3.496,0.0448
681,3.499,0.0448
682,3.5,0.0448
683,3.502,0.0448
684,3.505,0.0448
685,3.508,0.0448
686,3.509,0.0448
687,3.511,0.0448
688,3.514,0.0448
689,3.516,0.0452
690,3.519,0.0452
691,3.522,0.0452
692,3.524,0.0452
693,3.526,0.0452
694,3.528,0.0452
695,3.531,0.0452
696,3.533,0.0452
697,3.536,0.0452
698,3.539,0.0452
699,3.541,0.0452
700,3.544,0.0456
701,3.546,0.0452
702,3.549,0.0456
703,3.551,0.0456
704,3.553,0.0456
705,3.555,0.0456
706,3.558,0.0456
707,3.561,0.0456
708,3.564,0.0456
709,3.565,0.0456
710,3.568,0.0456
711,3.57,0.0456
712,3.573,0.0456
713,3.575,0.0456
714,3.578,0.046
715,3.58,0.046
716,3.583,0.046
717,3.585,0.046
718,3.587,0.046
719,3.589,0.046
720,3.592,0.046
721,3.594,0.046
722,3.597,0.046
723,3.599,0.0464
724,3.601,0.0464
725,3.603,0.0464
726,3.606,0.0464
727,3.608,0.0464
728,3.611,0.0464
729,3.613,0.0464
730,3.616,0.0464
731,3.619,0.0464
732,3.621,0.0464
